__run_id,__done,benchmark,compilation,cold_start_energy,warm_start_energy,cold_start_cpu_util,warm_start_cpu_util,cold_start_duration,warm_start_duration,cold_start_memory_util,warm_start_memory_util
run_0_repetition_0,DONE,binary_trees/original.py,original,3.903,4.234,86.844,99.242,2356,1863,452149248,486236160
run_1_repetition_0,DONE,binary_trees/original.py,numba,9.092,1.282,95.414,98.718,8392,723,2966642688,1680629760
run_2_repetition_0,DONE,binary_trees/original.py,cython,2.625,2.085,79.244,100.0,1577,1445,436273152,474337280
run_3_repetition_0,DONE,fannkuch/original.py,original,1.468,1.434,65.749,100.0,912,381,25264128,25264128
run_4_repetition_0,DONE,fannkuch/original.py,numba,1.382,0.223,72.032,100.0,1102,172,151285760,151285760
run_5_repetition_0,DONE,fannkuch/original.py,cython,1.498,0.795,55.935,100.0,722,343,25411584,25411584
run_6_repetition_0,DONE,insertionsort/original.py,original,1.583,1.625,63.968,98.464,836,571,16457728,16457728
run_7_repetition_0,DONE,insertionsort/original.py,numba,2.241,0.746,79.159,100.0,1520,305,147443712,147443712
run_8_repetition_0,DONE,insertionsort/original.py,cython,1.8,2.092,59.269,100.0,779,514,16777216,16777216
run_9_repetition_0,DONE,mandlebrot/original.py,original,1.605,2.169,63.502,100.0,874,571,13479936,13479936
run_10_repetition_0,DONE,mandlebrot/original.py,numba,1.024,0.252,70.04,97.273,1044,191,146440192,146440192
run_11_repetition_0,DONE,mandlebrot/original.py,cython,0.891,1.293,62.763,97.895,798,552,13565952,13565952
run_12_repetition_0,DONE,nbody/original.py,original,4.507,4.321,78.503,100.0,1463,1312,10153984,10153984
run_13_repetition_0,DONE,nbody/original.py,numba,1.325,0.229,76.724,100.0,1425,210,152723456,152723456
run_14_repetition_0,DONE,nbody/original.py,cython,4.37,4.241,84.648,99.15,1881,1578,10428416,10428416
run_15_repetition_0,DONE,recur_matrix_multiplication/original.py,original,3.46,3.083,73.38,98.644,1197,1103,9973760,10170368
run_16_repetition_0,DONE,recur_matrix_multiplication/original.py,numba,3.194,1.499,86.44,96.881,2413,495,150990848,150990848
run_17_repetition_0,DONE,recur_matrix_multiplication/original.py,cython,1.192,1.768,56.335,96.4,703,457,25120768,25366528
run_18_repetition_0,DONE,richards/original.py,original,4.773,3.769,79.982,100.0,1520,1236,26079232,26079232
run_19_repetition_0,DONE,richards/original.py,numba,1.233,0.097,70.205,94.805,1045,191,147161088,147161088
run_20_repetition_0,DONE,richards/original.py,cython,5.857,5.346,83.485,100.0,1843,1502,25346048,25346048
run_21_repetition_0,DONE,spectral_norm/original.py,original,9.998,9.361,89.697,100.0,3002,2631,77291520,77291520
run_22_repetition_0,DONE,spectral_norm/original.py,numba,2.218,0.189,81.217,95.694,1710,191,352350208,439132160
run_23_repetition_0,DONE,spectral_norm/original.py,cython,8.743,8.479,86.105,100.0,2660,2243,80908288,80908288
run_0_repetition_1,DONE,binary_trees/original.py,original,4.393,4.085,83.813,100.0,2280,1996,446746624,479940608
run_1_repetition_1,DONE,binary_trees/original.py,numba,9.144,1.524,95.849,98.864,8075,819,2929876992,4462239744
run_2_repetition_1,DONE,binary_trees/original.py,cython,2.705,2.35,78.825,100.0,1539,1426,445665280,471261184
run_3_repetition_1,DONE,fannkuch/original.py,original,1.255,0.861,68.051,100.0,932,495,25264128,25264128
run_4_repetition_1,DONE,fannkuch/original.py,numba,1.254,0.18,72.912,90.909,1216,191,151564288,151564288
run_5_repetition_1,DONE,fannkuch/original.py,cython,1.016,0.922,62.739,95.263,836,343,25620480,25341952
run_6_repetition_1,DONE,insertionsort/original.py,original,1.265,1.942,69.273,97.459,1008,533,16543744,16543744
run_7_repetition_1,DONE,insertionsort/original.py,numba,1.794,0.481,80.125,98.571,1615,381,147046400,147046400
run_8_repetition_1,DONE,insertionsort/original.py,cython,1.738,1.738,65.274,100.0,910,571,16769024,16769024
run_9_repetition_1,DONE,mandlebrot/original.py,original,1.881,1.599,61.243,100.0,779,685,13209600,13180928
run_10_repetition_1,DONE,mandlebrot/original.py,numba,1.185,0.283,72.869,93.074,1159,191,146948096,147144704
run_11_repetition_1,DONE,mandlebrot/original.py,cython,1.576,1.159,57.261,100.0,922,552,13484032,13737984
run_12_repetition_1,DONE,nbody/original.py,original,4.623,4.917,80.834,99.352,2060,1217,10227712,10227712
run_13_repetition_1,DONE,nbody/original.py,numba,1.702,0.318,70.636,100.0,1269,191,152502272,152502272
run_14_repetition_1,DONE,nbody/original.py,cython,5.033,4.496,79.395,99.367,1747,1483,10452992,10452992
